151603718,Half-Life 2,play,406.1372327447138,0
151603713,Warframe,play,148.64865186217781,0
151603713,Counter-Strike: Global Offensive,play,375.9835232740546,0
151603738,Team Fortress 2,play,20.008673309231174,0
151603801,Dota 2,play,332.0619528598204,0
151603786,Sid Meier's Civilization V,play,428.4228820774486,0
151603728,Terraria,play,121.62781552583752,0
151603791,Terraria,play,470.56502242875837,0
151603803,Sid Meier's Civilization V,play,171.4607614306916,0
151603753,Total War: ROME II - Emperor Edition,play,208.67607370303446,0
151603719,Dota 2,play,238.35208798989783,0
151603744,Warframe,play,294.20101760150357,0
151603730,Counter-Strike: Global Offensive,play,444.86464450150794,0
151603727,Team Fortress 2,play,757.9285988952217,0
151603775,Team Fortress 2,play,269.76709333330575,0
151603779,Portal 2,purchase,1.0,0
151603779,Garry's Mod,purchase,1.0,0
151603749,Grand Theft Auto V,play,183.45485128892958,0
151603779,Portal 2,play,54.65097359210709,0
151603803,Football Manager 2015,play,253.64016219829418,0
151603789,Borderlands 2,play,427.0474638773836,0
151603781,Left 4 Dead 2,purchase,1.0,0
151603775,Warframe,play,214.02370784040227,0
151603791,Grand Theft Auto V,play,150.76188350422748,0
151603796,Borderlands 2,play,262.15540535756156,0
151603766,Counter-Strike: Global Offensive,play,326.6717153445759,0
151603779,Team Fortress 2,purchase,1.0,0
151603769,Football Manager 2015,play,378.5582298281048,0
151603802,Total War: ROME II - Emperor Edition,purchase,1.0,0
151603725,Garry's Mod,purchase,1.0,0
151603739,Dota 2,play,139.20067480104757,0
151603740,Football Manager 2015,purchase,1.0,0
151603809,Portal 2,play,103.16678425851131,0
151603797,The Elder Scrolls V: Skyrim,play,190.31998754150166,0
151603781,Total War: ROME II - Emperor Edition,purchase,1.0,0
151603772,Football Manager 2015,play,460.13688230612837,0
151603810,Team Fortress 2,play,602.0368735646064,0
151603805,Terraria,purchase,1.0,0
151603719,The Elder Scrolls V: Skyrim,play,266.2375881337374,0
151603805,Sid Meier's Civilization V,purchase,1.0,0
151603785,Team Fortress 2,play,940.7216084274634,0
151603771,Garry's Mod,play,327.6338982554741,0
151603745,Terraria,play,303.92156542857106,0
151603722,Warframe,purchase,1.0,0
151603808,Half-Life 2,purchase,1.0,0
151603783,Garry's Mod,purchase,1.0,0
151603786,Portal 2,purchase,1.0,0
